val_loss,val_macro-f1,val_micro-f1,epoch,step,train_loss,train_macro-f1,train_micro-f1
0.04806471988558769,0.028644884005188942,0.6842499375343323,39,219639,,,
,,,39,219639,0.04686513543128967,0.029270248487591743,0.6968623399734497
0.04777586832642555,0.02926773391664028,0.6891740560531616,40,225130,,,
,,,40,225130,0.04656847566366196,0.029741615056991577,0.6998573541641235
0.04761696606874466,0.030113372951745987,0.6926138997077942,41,230621,,,
,,,41,230621,0.046300116926431656,0.030336055904626846,0.7039979696273804
0.04741650074720383,0.030193863436579704,0.6949924230575562,42,236112,,,
,,,42,236112,0.046021364629268646,0.030809056013822556,0.7073386907577515
0.04723508283495903,0.030893612653017044,0.6968635320663452,43,241603,,,
,,,43,241603,0.04577852785587311,0.031229980289936066,0.7095850110054016
0.046987030655145645,0.03070996329188347,0.6962979435920715,44,247094,,,
